cod,bairro,pop,renda_total,renda_pc,pct_negra,pct_branca
431490205000580,Santo Antônio,494.0,715249.0,1447.8724696356276,9.109311740890687,90.89068825910931
431490205000581,Santo Antônio,545.0,834042.0,1530.3522935779818,17.79816513761468,82.20183486238533
431490205000582,Santo Antônio,411.0,499387.0,1215.0535279805354,15.815085158150852,83.94160583941606
431490205000583,Santo Antônio,361.0,540273.0,1496.601108033241,17.174515235457065,82.27146814404432
431490205000584,Santo Antônio,436.0,730892.0,1676.3577981651376,16.055045871559635,83.94495412844036
431490205000585,Santo Antônio,639.0,1350159.0,2112.924882629108,9.546165884194053,90.29733959311424
431490205000586,Santo Antônio,679.0,886273.0,1305.262150220913,17.820324005891017,81.2960235640648
431490205000587,Santo Antônio,700.0,1193863.0,1705.5185714285715,14.142857142857142,85.57142857142857
431490205000588,Santo Antônio,688.0,860763.0,1251.109011627907,16.27906976744186,83.28488372093024
431490205000589,Santo Antônio,334.0,575329.0,1722.5419161676646,11.377245508982035,87.72455089820359
431490205000590,Santo Antônio,450.0,765621.0,1701.38,21.777777777777775,77.77777777777779
431490205000591,Santo Antônio,356.0,474955.0,1334.1432584269662,17.97752808988764,80.89887640449437
431490205000592,Azenha,355.0,808453.0,2277.332394366197,8.169014084507042,90.70422535211267
431490205000593,Azenha,337.0,709313.0,2104.786350148368,9.792284866468842,89.61424332344214
431490205000594,Azenha,533.0,999879.0,1875.9455909943715,9.943714821763603,89.49343339587243
431490205000595,Azenha,306.0,428821.0,1401.375816993464,5.88235294117647,93.79084967320262
431490205000596,Azenha,354.0,1214013.0,3429.415254237288,0.847457627118644,99.15254237288136
431490205000597,Azenha,584.0,1227918.0,2102.599315068493,7.876712328767123,92.12328767123287
431490205000598,Azenha,289.0,483062.0,1671.4948096885814,12.45674740484429,86.85121107266436
431490205000599,Azenha,608.0,1496914.0,2462.029605263158,13.157894736842104,86.67763157894737
431490205000600,Azenha,420.0,666539.0,1586.997619047619,6.190476190476191,93.33333333333333
431490205000601,Azenha,339.0,461569.0,1361.5604719764012,9.144542772861357,89.67551622418878
431490205000602,Azenha,317.0,517018.0,1630.9716088328075,7.886435331230284,92.11356466876973
431490205000603,Azenha,504.0,709370.0,1407.4801587301588,11.11111111111111,88.88888888888889
431490205000604,Azenha,2.0,0,,0.0,
431490205000605,Azenha,777.0,856958.0,1102.906048906049,33.46203346203346,66.40926640926641
431490205000606,Azenha,276.0,449468.0,1628.5072463768115,11.956521739130435,88.04347826086956
431490205000607,Azenha,523.0,764138.0,1461.0669216061185,14.531548757170173,85.27724665391969
431490205000608,Azenha,547.0,828890.0,1515.3382084095065,17.550274223034734,82.26691042047533
431490205000609,Azenha,776.0,2111686.0,2721.244845360825,8.118556701030927,91.88144329896907
431490205000610,Azenha,503.0,811340.0,1613.0019880715706,6.36182902584493,92.84294234592446
431490205000611,Azenha,413.0,936483.0,2267.5133171912835,7.263922518159806,92.7360774818402
431490205000612,Azenha,553.0,1035198.0,1871.9674502712478,10.126582278481013,89.5117540687161
431490205000613,Azenha,520.0,628923.0,1209.4673076923077,25.0,74.8076923076923
431490205000614,Azenha,670.0,1380812.0,2060.913432835821,11.194029850746269,88.80597014925374
431490205000615,Azenha,489.0,882255.0,1804.20245398773,8.384458077709612,91.41104294478528
431490205000616,Azenha,265.0,0,,0.0,
431490205000617,Azenha,387.0,587737.0,1518.7002583979329,12.144702842377262,86.04651162790698
431490205000618,Azenha,622.0,1348491.0,2167.991961414791,15.434083601286176,84.08360128617363
431490205000619,Menino-Deus,523.0,341505.0,652.9732313575525,51.434034416826,48.37476099426386
431490205000620,Menino-Deus,373.0,1051456.0,2818.916890080429,10.991957104557642,88.47184986595174
431490205000621,Menino-Deus,256.0,445537.0,1740.37890625,13.671875,86.328125
431490205000622,Menino-Deus,297.0,547556.0,1843.6228956228956,8.754208754208754,90.9090909090909
431490205000623,Menino-Deus,231.0,103523.0,448.1515151515151,43.722943722943725,53.67965367965368
431490205000624,Menino-Deus,343.0,579138.0,1688.4489795918366,13.411078717201166,84.25655976676384
431490205000625,Menino-Deus,485.0,1042924.0,2150.358762886598,9.278350515463918,89.27835051546393
431490205000626,Menino-Deus,441.0,1280404.0,2903.4104308390024,6.802721088435375,93.19727891156462
431490205000627,Menino-Deus,713.0,1637457.0,2296.573632538569,10.37868162692847,89.62131837307152
